App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Descargas,Descargas2,Categoria,tamaño,tamaño2,Gratuito,tipo_contenido,Genero1,dias_sin_actualizar,meses_sin_actualizar,grupomeses,version_actual,grupoversiones,version_android,Genero2,media_inst_grp_ver,mediana_inst_grp_ver,med_versandroid
VidPlay,VIDEO_PLAYERS,4.2,3546.0,3.7M,1000000,Free,0.0,Everyone,Video Players & Editors,2018-05-27,2.0.19,4.1 and up,13.0,4.0,26.0,3700.0,1.0,1.0,1.0,33,2153,72.0,4.0,2,1.0,9,3.3275862068965516,3,3,3.0
Security Camera CZ,HOUSE_AND_HOME,4.4,137.0,19M,10000,Free,0.0,Everyone,House & Home,2018-07-17,1.1.10,4.1 and up,9.0,2.0,25.0,19000.0,3.0,1.0,1.0,30,2102,70.0,5.0,1,0.0,9,3.1666666666666665,2,2,3.0
Nur təfsiri 1-ci cild,LIBRARIES_AND_DEMO,5.0,15.0,1.4M,1000,Free,0.0,Everyone,Libraries & Demo,2017-04-27,1,1.6 and up,7.0,1.0,5.0,1400.0,6.0,1.0,1.0,8,2548,85.0,0.0,1,0.0,0,2.370656370656371,2,2,2.0
Awake Dating,DATING,5.0,2.0,70M,100,Free,0.0,Mature 17+,Dating,2018-07-24,2.2.9,4.4 and up,5.0,0.0,4.0,70000.0,5.0,1.0,2.0,5,2095,70.0,5.0,2,1.0,11,2.142857142857143,3,3,3.0
Steam: Rails to Riches,FAMILY,4.2,214.0,67M,5000,Paid,4.99,Everyone,Board;Brain Games,2017-12-13,3.3.1,4.1 and up,8.0,1.0,12.0,67000.0,5.0,0.0,1.0,13,2318,77.0,3.0,3,1.0,9,2.559322033898305,3,3,3.0
Alt-C,PRODUCTIVITY,4.0,499.0,4.7M,10000,Free,0.0,Everyone,Productivity,2017-01-27,"1,37",4.0 and up,9.0,2.0,15.0,4700.0,1.0,1.0,1.0,18,2638,88.0,0.0,1,0.0,6,2.7002237136465324,2,2,3.0
"Money Lover: Expense Tracker, Budget Planner",FINANCE,4.4,126447.0,Varies with device,1000000,Free,0.0,Everyone,Finance,2018-08-01,Varies with device,Varies with device,13.0,4.0,8.0,0.0,6.0,1.0,1.0,10,2087,70.0,5.0,100,2.0,13,2.4,4,4,4.0
MommyMeds,MEDICAL,3.2,45.0,21M,5000,Paid,3.99,Everyone,Medical,2017-11-15,2.0.1,6.0 and up,8.0,1.0,0.0,21000.0,3.0,0.0,1.0,0,2346,78.0,2.0,2,1.0,2,1.3285198555956679,3,3,2.0
Paris ci la Sortie du Métro,MAPS_AND_NAVIGATION,4.2,453.0,36M,10000,Paid,2.99,Everyone,Maps & Navigation,2018-04-02,"4,3",4.1 and up,9.0,2.0,18.0,36000.0,4.0,0.0,1.0,21,2208,74.0,1.0,4,2.0,9,2.7752293577981653,4,4,3.0
BM SPM Practice,FAMILY,5.0,6.0,9.2M,1000,Free,0.0,Everyone,Education,2018-01-24,1,4.1 and up,7.0,1.0,12.0,9200.0,2.0,1.0,1.0,3,2276,76.0,3.0,1,0.0,9,2.057603686635945,2,2,3.0
